Feature,Type
smri_area_cdk_banksstslh,Area
smri_area_cdk_banksstsrh,Area
smri_area_cdk_cdacatelh,Area
smri_area_cdk_cdacaterh,Area
smri_area_cdk_cdmdfrlh,Area
smri_area_cdk_cdmdfrrh,Area
smri_area_cdk_cuneuslh,Area
smri_area_cdk_cuneusrh,Area
smri_area_cdk_ehinallh,Area
smri_area_cdk_ehinalrh,Area
smri_area_cdk_frpolelh,Area
smri_area_cdk_frpolerh,Area
smri_area_cdk_fusiformlh,Area
smri_area_cdk_fusiformrh,Area
smri_area_cdk_ifpllh,Area
smri_area_cdk_ifplrh,Area
smri_area_cdk_iftmlh,Area
smri_area_cdk_iftmrh,Area
smri_area_cdk_ihcatelh,Area
smri_area_cdk_ihcaterh,Area
smri_area_cdk_insulalh,Area
smri_area_cdk_insularh,Area
smri_area_cdk_linguallh,Area
smri_area_cdk_lingualrh,Area
smri_area_cdk_lobfrlh,Area
smri_area_cdk_lobfrrh,Area
smri_area_cdk_locclh,Area
smri_area_cdk_loccrh,Area
smri_area_cdk_mdtmlh,Area
smri_area_cdk_mdtmrh,Area
smri_area_cdk_mobfrlh,Area
smri_area_cdk_mobfrrh,Area
smri_area_cdk_paracnlh,Area
smri_area_cdk_paracnrh,Area
smri_area_cdk_parahpallh,Area
smri_area_cdk_parahpalrh,Area
smri_area_cdk_parsobislh,Area
smri_area_cdk_parsobisrh,Area
smri_area_cdk_parsopclh,Area
smri_area_cdk_parsopcrh,Area
smri_area_cdk_parstgrislh,Area
smri_area_cdk_parstgrisrh,Area
smri_area_cdk_pclh,Area
smri_area_cdk_pcrh,Area
smri_area_cdk_pericclh,Area
smri_area_cdk_periccrh,Area
smri_area_cdk_postcnlh,Area
smri_area_cdk_postcnrh,Area
smri_area_cdk_precnlh,Area
smri_area_cdk_precnrh,Area
smri_area_cdk_ptcatelh,Area
smri_area_cdk_ptcaterh,Area
smri_area_cdk_rracatelh,Area
smri_area_cdk_rracaterh,Area
smri_area_cdk_rrmdfrlh,Area
smri_area_cdk_rrmdfrrh,Area
smri_area_cdk_smlh,Area
smri_area_cdk_smrh,Area
smri_area_cdk_sufrlh,Area
